id,Date,Grain,Destination,Port,FGIS_Reg,MT,Pounds
432627,2/13/20,SOYBEANS,MEXICO,MISSISSIPPI R.,EAST GULF,82388,181633580
432628,2/13/20,SOYBEANS,VIETNAM,INTERIOR,INTERIOR,245,540000
432629,2/13/20,SOYBEANS,VIETNAM,INTERIOR,INTERIOR,294,648000
432630,2/13/20,SOYBEANS,CHINA T,INTERIOR,INTERIOR,269,594000
432631,2/13/20,SOYBEANS,CHINA T,INTERIOR,INTERIOR,490,1080000
432632,2/13/20,SOYBEANS,CHINA T,INTERIOR,INTERIOR,490,1080000
432633,2/13/20,SOYBEANS,CHINA T,INTERIOR,INTERIOR,245,540000
432634,2/13/20,CORN,MEXICO,INTERIOR,INTERIOR,72,158400
432635,2/13/20,SORGHUM,MEXICO,INTERIOR,INTERIOR,359,792000
432636,2/13/20,SOYBEANS,THAILAND,INTERIOR,INTERIOR,294,648000
432637,2/13/20,SOYBEANS,THAILAND,INTERIOR,INTERIOR,318,702000
432638,2/13/20,SOYBEANS,MALAYSIA,INTERIOR,INTERIOR,465,1026000
432639,2/13/20,SOYBEANS,THAILAND,INTERIOR,INTERIOR,465,1026000
432640,2/13/20,SORGHUM,JAPAN,MISSISSIPPI R.,EAST GULF,11342,25004540
432641,2/13/20,SOYBEANS,THAILAND,INTERIOR,INTERIOR,465,1026000
432642,2/13/20,SOYBEANS,MEXICO,MISSISSIPPI R.,EAST GULF,48419,106745720
432643,2/13/20,SOYBEANS,VIETNAM,INTERIOR,INTERIOR,441,972000
432644,2/13/20,SOYBEANS,VIETNAM,INTERIOR,INTERIOR,490,1080000
432645,2/13/20,SOYBEANS,VIETNAM,INTERIOR,INTERIOR,367,810000
432646,2/13/20,SOYBEANS,MALAYSIA,INTERIOR,INTERIOR,220,486000
432647,2/13/20,CORN,JAPAN,MISSISSIPPI R.,EAST GULF,11099,24469100
432648,2/13/20,SOYBEANS,MALAYSIA,INTERIOR,INTERIOR,24,54000
432649,2/13/20,SOYBEANS,CHINA T,INTERIOR,INTERIOR,490,1080000
432650,2/13/20,SOYBEANS,MALAYSIA,INTERIOR,INTERIOR,245,540000
